source_code,target_code,target_display
adductor side lying,adductor-side-lying,Adductor Side Lying
SL elevated glute bridge,SL-elevated-glute-bridge,SL elevated glute bridge (45 cm elevation)
SL hip thrust,SL-hip-thrust,SL hip thrust
SL prone curls,SL-prone-curls,SL prone curls (no resistance)
SL straight knee calf raise,SL-straight-knee-calf-raise,SL Straight knee calf raise
DL elevated glute bridge,DL-elevated-glute-bridge,DL elevated glute bridge (45 cm elevation)
DL glute bridge,DL-glute-bridge,DL glute bridge
isometric at 0deg,isometric-at-0deg,Isometric at 0 deg (prone position with full resistance)
isometric at 45deg,isometric-at-45deg,Isometric at 45 deg (prone position with full resistance)
isometric at 90deg,isometric-at-90deg,Isometric at 90 deg (prone position with full resistance)
SL glute bridge,SL-glute-bridge,SL glute bridge
